H|          11| |00 00 08.95|+46 56 24.0| 7.34| |H|000.03729695|+46.94000154| |   4.29|   11.09|   -2.02|  0.52|  0.51|  0.84|  0.53|  0.54| 0.09| 0.20| 0.31|-0.30| 0.00|-0.11| 0.06| 0.21| 0.26| 0.05|  0|-0.23|    11| 7.446|0.005| 7.364|0.005| | 0.081|0.007|T|0.09|0.01|L| | 7.3777|0.0010|0.012|153| | 7.36| 7.40|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |224720|B+46 4231 |          |          |0.07|A2          |S 
H|          12| |00 00 09.82|-35 57 36.8| 8.43| |H|000.04091756|-35.96022482| |   4.06|   -5.99|   -0.10|  0.81|  0.58|  1.16|  1.02|  0.72| 0.13|-0.09|-0.17|-0.36| 0.00| 0.16|-0.01|-0.41| 0.29| 0.02|  2| 0.76|    12|10.369|0.023| 8.588|0.010| | 1.484|0.020|T|1.50|0.03|L| | 8.5598|0.0012|0.017|177| | 8.53| 8.59|       | | | |          | |  | 1| | | |  |   |       |     |     |    | | | |224715|          |C-36 16128|P-36  9818|1.41|K4III       |3 
H|          13| |00 00 10.00|-22 35 40.9| 8.80| |H|000.04167970|-22.59468060| |   3.49|    8.45|  -10.07|  1.21|  0.67|  1.48|  1.44|  0.59| 0.15| 0.23| 0.24| 0.09| 0.09| 0.24|-0.05|-0.37|-0.04|-0.10|  0|-0.46|    13|10.216|0.026| 8.887|0.014| | 1.128|0.023|T|1.09|0.02|L| | 8.9707|0.0017|0.015|117| | 8.94| 9.00|       | | | |          | |  | 1| | | |  |   |       |     |     |    | | | |224728|          |C-23 18112|P-23  8368|1.04|K0III       |4 
H|          14| |00 00 11.59|-00 21 37.5| 7.25| |G|000.04827189|-00.36042119| |   5.11|   61.75|  -11.67|  0.88|  0.54|  0.99|  1.12|  0.59| 0.34| 0.01|-0.21| 0.23|-0.03| 0.11| 0.01|-0.24| 0.27| 0.40|  0|-0.31|    14| 8.812|0.013| 7.396|0.008| | 1.200|0.015|G|1.16|0.01|H| | 7.4195|0.0009|0.009| 97| | 7.41| 7.43|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |224726|B-01 4515 |          |          |1.16|K0          |S 
H|          15| |00 00 12.07|+50 47 28.2| 8.60| |H|000.05030890|+50.79117384| |   2.45|   13.88|    5.47|  0.66|  0.70|  1.16|  0.78|  0.70|-0.27| 0.08| 0.27| 0.22| 0.05| 0.09| 0.06|-0.06| 0.14|-0.19|  0| 0.35|    15|10.117|0.020| 8.739|0.011| | 1.166|0.018|T|1.13|0.02|L| | 8.7669|0.0018|0.022|192| | 8.73| 8.80|       | | | |          | |  | 1| | | |  |   |       |     |     |    | | | |236267|B+49 4303 |          |          |1.23|K2          |S 
H|          17| |00 00 12.26|-40 11 32.4| 8.15| |H|000.05109957|-40.19232842| |   6.15|  -34.46|  -26.37|  0.57|  0.55|  1.00|  0.61|  0.65| 0.18| 0.24| 0.13| 0.29|-0.07| 0.11|-0.15|-0.35|-0.18| 0.11|  0|-0.62|    17| 8.642|0.008| 8.187|0.008| | 0.425|0.007|G|0.49|0.01|H| | 8.2405|0.0011|0.015|180| | 8.22| 8.27|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |224732|          |C-40 15306|P-40  9904|0.49|F3V         |2 
H|          16| |00 00 12.34|-54 54 50.9|11.71| |G|000.05140852|-54.91412819| |   0.53|  257.39|  -96.63|  1.49|  1.67|  2.63|  1.81|  1.95|-0.27|-0.07|-0.13| 0.02| 0.03| 0.04| 0.05|-0.08|-0.09|-0.22|  0| 0.76|    16|      |     |      |     | | 0.421|0.015|G|0.49|0.02|H| |11.8279|0.0062|0.072|196| |11.66|11.94|       | | | |          | |  | 1| | |S|  |   |       |     |     |    | |G| |      |          |          |P-55 10131|0.49|            |  
H|          18| |00 00 12.75|-04 03 13.5|11.03| |G|000.05313923|-04.05373813| |  19.93| -127.22|   23.78|  2.18|  1.20|  2.36|  2.69|  1.15| 0.24| 0.19| 0.04|-0.08| 0.03| 0.15| 0.03|-0.30| 0.26| 0.18|  3| 0.05|    18|      |     |      |     | | 1.567|0.197|G|1.49|0.02|A| |11.0625|0.0035|0.035|114| |10.98|11.12|       |C| | |          | |  | 1| | | |  |   |       |     |     |    | |G| |      |B-04 6001 |          |          |1.49|K5          |S 
H|          19| |00 00 12.80|+38 18 14.7| 6.53| |H|000.05331696|+38.30408636| |   4.12|   -2.50|  -15.07|  0.55|  0.40|  0.64|  0.60|  0.45| 0.09|-0.05| 0.03| 0.53|-0.08|-0.10|-0.04| 0.21| 0.08| 0.23|  0|-0.84|    19| 7.739|0.006| 6.630|0.004| | 0.955|0.005|G|0.94|0.00|H| | 6.6890|0.0007|0.007|144| | 6.68| 6.70|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |224721|B+37 4912 |          |          |0.94|G5          |S 
H|          20| |00 00 15.11|+23 31 45.4| 8.51| |G|000.06295050|+23.52928397| |  10.76|   36.00|  -22.98|  0.88|  0.59|  1.06|  0.92|  0.59| 0.30| 0.39| 0.19| 0.10| 0.02| 0.08| 0.09|-0.05| 0.20| 0.32|  0| 0.50|    20| 9.074|0.015| 8.549|0.014| | 0.516|0.015|G|0.59|0.02|H| | 8.6208|0.0015|0.011| 94| | 8.60| 8.64|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |224723|B+22 4939 |          |          |0.59|G0          |S 
